Setting name,Value Type,Description,Default Value
`ARCHIVE_SAVE_AS`,filespec ,Location of archive subdirectory within the  `OUTPUT` directory in which to contain older articles and pages.  It is common to use {slug} to construct this filespec., `'archives/{slug}.html'`
`ARCHIVE_URL`,url_path,URL to use in the HTML \<src=\> attribute to store a page or article as an archive file.  It is common to use  {slug} to  construct this URL., `'archives/{slug}.html'`
`ARCHIVES_SAVE_AS`,filespec ,Directory path to store this all-archives HTML index file within the  `OUTPUT` directory.  It is common to use {slug} to construct this filespec., `'archives/index.html'`
`ARCHIVES_URL_PATH`,string,, `'archives'`
`ARCHIVES_URL`,url_path,"What URL to use, in the HTML \<src=\> attribute, to store this all-archives HTML index file.  It is common to use  {slug} to  construct this URL.", `'archives/index.html'`
`ARTICLE_EXCLUDES`,list of dirspec ,The subdirectory name under \$PATH where selected directories are to be excluded from chronological indexing.  Pelican will also seed this from `PAGE_PATHS`., `['pages']`
`ARTICLE_LANG_SAVE_AS`,filespec ,Where to put an language-specific article content within the  `OUTPUT` directory.  It is common to use {slug} to construct this filespec., `'{slug}-{lang}.html'`
`ARTICLE_LANG_URL`,url_path,What URL to use in the HTML \<src=\> attribute to store a language-specific page or article file.  It is common to use  {slug} to  construct this URL., `'{slug}-{lang}.html'`
`ARTICLE_ORDER_BY`,string ,"The choices of how are articles organized by are: `'reversed-date'`,  `'reversed-prefix`', `'prefix`', `'basename'`. Defines how the articles (articles_page.object_list in the template) are sorted. Valid options are: metadata as a string (use reversed- prefix the reverse the sort order) then special option 'basename' which will use the basename of the file (without path) or a custom function to extract the sorting key from articles. The default value 'reversed-date' will sort articles by date in reverse order (i.e. newest article comes first).", `'reversed-date'`
`ARTICLE_PATHS`,list of dirspec,A list of subdirectory(s) to ignore as well as ignoring `PAGE_PATHS`.,`['']`
`ARTICLE_PERMALINK_STRUCTURE`,string ,, `''`
`ARTICLE_SAVE_AS`,filespec ,Location of an article file within the  `OUTPUT` directory.  Only for default language. It is common to use {slug} to construct this filespec., `'{slug}.html'`
`ARTICLE_TRANSLATION_ID`,varname ,, `'slug'`
`ARTICLE_URL`,url_path,URL location to use in the HTML \<src=\> attribute to store an article file.  Only for default language.  It is common to use  {slug} to  construct this URL., `'{slug}.html'`
`ARTICLES_URL_PATH`,filespec ,,`''`
`ARTICLES_URL`,url_path,URL location to use in the HTML \<src=\> attribute to store all article files.  Only for default language.  It is common to use  {slug} to  construct this URL.,`'index.html'`
`AUTHOR_FEED_ATOM`,filespec ,Where to put the author Atom feeds in the `OUTPUT` directory,`'feeds/{slug}.atom.xml'`
`AUTHOR_FEED_RSS`,filespec ,Where to put the author RSS feeds in the  `OUTPUT` directory,`'feeds/{slug}.rss.xml'`
`AUTHOR_REGEX_SUBSTITUTIONS`,list of tuple of regex ,"Substitutions to make prior to stripping out non-alphanumerics when generating author(s). Specified as a list of 2-tuples of (from,  to) which are applied in order.",`None`
`AUTHOR_SAVE_AS`,filespec ,Location of author file within the  `OUTPUT` directory.  Only for default language. It is common to use {slug} to construct this filespec.,`'authors/{slug}.html'`
`AUTHOR_URL`,url_path,URL location to use in the HTML \<src=\> attribute to store an author file.  It is common to use  {slug} to  construct this URL.,"`'authors/{slug}.html?and&in&url=""""'`"
`AUTHOR`,string ,Default author (put your name),(must define) 
`AUTHORS_SAVE_AS`,filespec ,Location of an all-authors file within the  `OUTPUT` directory.  Only for default language. It is common to use {slug} to construct this filespec.,`'authors/index.html'`
`AUTHORS_URL_PATH`,url_path,,`'authors'`
`AUTHORS_URL`,url_path,URL location to use in the HTML \<src=\> attribute to store an all-authors file.  It is common to use  {slug} to  construct this URL.,`'authors/index.html'`
`AUTORELOAD_IGNORE_CACHE`,string,Deprecated.  Now ignored.,  
`BIND`,ip_address ,"When starting Pelican in webserver mode, what IP address to bind with during local viewing of the `OUTPUT` directory.  Pelican CLI option is `--bind` or `-b`.",`127.0.0.1`
`CACHE_CONTENT`,boolean ,"If `True`,  saves content in caches. See [Reading only modified content](https://docs.getpelican.com/en/3.6.3/settings.html#reading-only-modified-content) for details about caching.",`False`
`CACHE_PATH`,abs_filespec ,Directory in which to store cache files.  Pelican CLI option is `--cache-path`.,`${PWD}/cache`
`CATEGORIES_SAVE_AS`,filespec ,Location of an all-category index HTML file within the  `OUTPUT` directory.  Only for default language. It is common to use {slug} to construct this filespec.,`'categories/index.html'`
`CATEGORIES_TO_COLLATE`,list of string ,,"`['category-of-interest', 'another-cool-category']`"
`CATEGORIES_URL_PATH`,filespec ,,`'categories'`
`CATEGORIES_URL`,url_path,URL location to use in the HTML \<src=\> attribute to store an all-category index HTML file.  It is common to use  {slug} to  construct this URL.,`'categories/index.html'`
`CATEGORY_FEED_ATOM_URL`,url_path,What URL to use in the HTML \<src=\> attribute for the category part of Atom feed.  It is common to use  {slug} to  construct this URL.,`'feeds/{slug}.atom.xml'`
`CATEGORY_FEED_ATOM`,filespec ,Where to put this category Atom feed into the  `OUTPUT` directory.  It is common to use {slug} to construct this filespec.,`'feeds/{slug}.atom.xml'`
`CATEGORY_FEED_RSS_URL`,url_path,,`None`
`CATEGORY_FEED_RSS`,filespec , Where to put the category RSS feeds.,`None`
`CATEGORY_SAVE_AS`,filespec , The location to save a category.,`'category/{slug}.html'`
`CATEGORY_URL`,url_path, The URL to use for a category.,`'category/{slug}.html'`
`CHECK_MODIFIED_METHOD`,string ," What checksum methods to use when checking wether a file has been modified or not.  `'mtime'` uses your filesystem modified time of the file in question.  Otherwise,  not specifying `'mtime'` will attempt to consult your specified function name of `hashlib` module.  At this moment using Python3.8 the additional available options are: `'blake2b'`,  `'blake2s'`,  `'md5'`,  `'pbkdf2_hmac'`  `'sha1'`  `'sha224'`  `'sha256'`  `'sha384'`  `'sha3_224'`  `'sha3_256'`  `'sha3_384'`  `'sha3_512'`  `'sha512'`  `'shake_128'`  `'shake_256'`.  ",`'mtime'`
`CLEAN_URLS`,string,Deprecated.  Now ignored.,  
`CONTENT_CACHING_LAYER`,string ,"Two depths of cache mechanism, only one can be used: `'reader'` or `'generator'`.  If set to `'reader'` then save only the raw content and metadata returned by readers. If set to `'generator'` then save processed content objects.",`'reader'`
`CSS_FILE`, filename , Specify the CSS file you want to load.  The filename of CSS used by this theme (`$THEME`).,`'main.css'`
`DATE_FORMATS`,dict of string ,"  A dictionary of string of date format whose key is in by two-char country code.  If left blank,  [ISO-8601](https://www.w3.org/TR/NOTE-datetime) is used.  If you manage multiple languages,  you can set the date formatting here. ",`{}`
`DAY_ARCHIVE_SAVE_AS`,filespec , The location to save per-day archives of your posts.,`''`
`DAY_ARCHIVE_URL`,url_path, The URL to use per-day archives of your posts.,`''`
`DEBUG`,boolean,The Pelican CLI options for debug are `-D` or `--debug`.  Both take debug level number as an argument.,`False`
